what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1401338855230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1401338855846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1401338856208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1401338856675
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401338858768
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1401338862290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338862358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338863423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401338876672
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401338880700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338887673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338891778
started,bundle,org.eclipse.mylyn.java.tasks,3.8.3.v20130107-0100,"org.eclipse.mylyn.java.tasks",1401338895973
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1401338896602
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401338896635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1401338898957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1401338899648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1401338900053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1401338900607
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401338902473
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1401338904654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338904707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338905781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338916565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338920072
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1401338921927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401338930325
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401338933961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338935617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401339733640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401339736361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401339736383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401339753230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401339965421
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401339983873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340077053
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1401340147761
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1401340149878
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1401340156052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340156371
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401340169815
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1401340175678
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1401340178674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401340184049
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1401340187777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401340188169
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1401340190672
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401340193202
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1401340197789
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1401340210318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340213072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1401340213114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340227282
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401340229383
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1401340232264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340232441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340233755
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1401340247900
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401340249775
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1401340252077
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401340254089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340275960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340946421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340953973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340977522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340977811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340978915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401340979650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341129779
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401341136031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341144469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401341154971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341182506
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401341186100
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401341187929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341197977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341201134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341203837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341205010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341205541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341206088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341208151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341209260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341217621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341220559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401341226732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341242204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341242688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341244735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341246048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341248783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341249736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341252346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341253596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341260269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341262754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341264035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341268504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401341270676
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1401341274349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341291867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341465839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401341470148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341471807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341473033
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1401341474298
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401341481894
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1401341497304
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1401341497451
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1401341497648
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1401341497869
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1401341498275
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1401341498455
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1401341498674
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1401341498674
